,title,money,exp,company_name,industry
104,前端开发工程师,15k-25k,经验3-5年/本科,神州数码,"硬件,数据服务/上市公司/2000人以上"
105,后端服务架构师,30k-50k,经验不限/本科,字节跳动,文娱丨内容/C轮/2000人以上
106,高级java开发工程师,10k-15k,经验5-10年/本科,格蓝若,硬件/未融资/15-50人
107,java高级开发工程师,6k-12k,经验1-3年/大专,睿码智能科技有限公司,"数据服务,人工智能/未融资/15-50人"
108,python后端工程师,6k-8k,经验3-5年/本科,找道科技,"移动互联网,教育/未融资/15-50人"
109,前端高级开发工程师,10k-15k,经验5-10年/本科,竞优软件,"企业服务,信息安全/上市公司/150-500人"
110,架构师/PHP 工程师,10k-20k,经验3-5年/本科,CmsTop,移动互联网/未融资/50-150人
111,python后端研发工程师,8k-12k,经验1-3年/本科,武汉夜莺科技有限公司,社交/A轮/15-50人
112,Web前端开发工程师,8k-15k,经验3-5年/本科,精臣智慧标识,电商/不需要融资/150-500人
113,web前端工程师,13k-26k,经验3-5年/本科,小米,硬件/D轮及以上/2000人以上
114,java开发工程师,15k-30k,经验5-10年/本科,武汉物易云通网络科技,"移动互联网,电商/B轮/150-500人"
115,Web前端工程师,8k-15k,经验1-3年/本科,锐视智慧,"企业服务,移动互联网/不需要融资/15-50人"
116,服务器开发工程师（校招/实习）,5k-10k,经验应届毕业生/本科,微派,社交/B轮/50-150人
117,Web前端开发工程师,4k-8k,经验1-3年/大专,上海同望,"移动互联网,数据服务/不需要融资/50-150人"
118,工程师（Android）,8k-16k,经验1-3年/大专,北京三真车联信息技术有限公司,"移动互联网,电商/天使轮/50-150人"
119,web前端开发,7k-12k,经验3-5年/大专,上海斯歌,"移动互联网,其他/未融资/50-150人"
120,前端工程师-电商,13k-26k,经验3-5年/本科,小米,硬件/D轮及以上/2000人以上
121,高级java开发工程师,15k-30k,经验5-10年/大专,武汉物易云通网络科技,"移动互联网,电商/B轮/150-500人"
122,前端开发工程师,6k-12k,经验1-3年/本科,湖北航信,"金融,企业服务/不需要融资/500-2000人"
123,web前端开发,8k-11k,经验3-5年/大专,软帝联合,移动互联网/未融资/500-2000人
124,高级web前端开发工程师,12k-20k,经验5-10年/本科,昊沧,"移动互联网,教育/B轮/150-500人"
125,web前端开发工程师,15k-30k,经验5-10年/本科,万科,房产家居/上市公司/2000人以上
126,Java开发工程师（大数据）,8k-10k,经验1-3年/本科,良品铺子,"电商,消费生活/不需要融资/2000人以上"
127,资深前端开发工程师,15k-30k,经验3-5年/本科,小红书,消费生活/D轮及以上/500-2000人
128,Web前端开发工程师,8k-15k,经验3-5年/本科,智领云,"数据服务,移动互联网/A轮/15-50人"
129,python后端开发,10k-15k,经验1-3年/本科,人数科技,企业服务/未融资/少于15人
130,高级PHP开发工程师,20k-40k,经验1-3年/本科,伴伴,"移动互联网,社交/不需要融资/50-150人"
131,web前端开发,8k-16k,经验1-3年/大专,航班管家,移动互联网/C轮/500-2000人
132,web前端开发工程师,10k-20k,经验1-3年/本科,武汉普斯顿网络科技有限公司,游戏/不需要融资/15-50人
133,高级web前端,12k-22k,经验5-10年/本科,易达云图,"移动互联网,数据服务/不需要融资/15-50人"
134,Python开发工程师,15k-25k,经验1-3年/本科,时光小屋,移动互联网/B轮/15-50人
135,web前端开发工程师,8k-12k,经验3-5年/大专,软帝联合,移动互联网/未融资/500-2000人
136,web前端开发工程师,13k-26k,经验3-5年/本科,小米,硬件/D轮及以上/2000人以上
137,React开发工程师,4k-7k,经验不限/本科,浅海科技,"移动互联网,企业服务/不需要融资/少于15人"
138,高级java开发工程师,8k-15k,经验3-5年/本科,旷视MEGVII,人工智能/D轮及以上/500-2000人
139,Web前端,8k-16k,经验1-3年/本科,航班管家,移动互联网/C轮/500-2000人
140,web前端,8k-15k,经验3-5年/大专,功夫仁医,"移动互联网,医疗丨健康/不需要融资/150-500人"
141,java开发工程师,11k-15k,经验3-5年/本科,建信金科,"金融,不限/不需要融资/2000人以上"
142,测试工程师,10k-20k,经验5-10年/本科,小源科技,移动互联网/C轮/150-500人
143,网站前端开发工程师,8k-16k,经验1-3年/本科,多益网络,"移动互联网,游戏/不需要融资/500-2000人"
144,Web前端高级开发工程师(J10438),15k-30k,经验5-10年/本科,百分点,数据服务/D轮及以上/500-2000人
145,高级.net 开发工程师,8k-14k,经验3-5年/本科,微诚科技,"数据服务,移动互联网/未融资/50-150人"
146,H5前端开发工程师,15k-30k,经验1-3年/本科,伴伴,"移动互联网,社交/不需要融资/50-150人"
147,H5开发工程师,9k-12k,经验3-5年/大专,南泥湾,"电商,企业服务/上市公司/150-500人"
148,.NET工程师（2人）,5k-8k,经验1-3年/本科,和诚旭日,"电商,消费生活/未融资/50-150人"
149,Ruby开发工程师,8k-14k,经验1-3年/本科,壹叁壹肆,移动互联网/天使轮/15-50人
