title,money,exp,company_name,industry
0,爬虫工程师,15k-30k,经验3-5年/本科,灯塔财经,"移动互联网,金融/B轮/50-150人"
1,爬虫工程师（Java方向）,6k-10k,经验1年以下/本科,中诚信征信,"数据服务,人工智能/不需要融资/150-500人"
2,​爬虫软件工程师(python),8k-16k,经验1-3年/本科,智慧工匠,移动互联网/未融资/50-150人
3,爬虫python开发,8k-13k,经验1-3年/大专,韦果科技,移动互联网/未融资/15-50人
4,爬虫python,8k-13k,经验1-3年/大专,韦果科技,移动互联网/未融资/15-50人
